0,1,2,3,4,5
285,1650 sq.ft,3,12.585473992965634,Semifurnished,"27,000"
286,1200 sq.ft,2,11.897940385218025,Semifurnished,"25,100"
287,500 sq.ft,1,10.961067435897174,Semifurnished,"15,000"
291,1560 sq.ft,3,9.15394549513154,Semifurnished,"33,000"
292,1210 sq.ft,2,13.346723756709135,Semifurnished,"29,000"
294,1200 sq.ft,2,9.15394549513154,Semifurnished,"28,000"
296,1200 sq.ft,2,5.808063250003965,Semifurnished,"23,000"
300,1100 sq.ft,2,39.1288803896841,Semifurnished,"25,100"
301,2000 sq.ft,3,5.71352833470664,Semifurnished,"60,000"
302,1410 sq.ft,3,16.39465523728644,Semifurnished,"35,000"
303,1267 sq.ft,2,10.67560305404598,Semifurnished,"20,000"
304,550 sq.ft,1,39.1288803896841,Semifurnished,"15,200"
305,1774 sq.ft,3,2.379314643159816,Semifurnished,"60,000"
307,575 sq.ft,1,9.05692984295668,Semifurnished,"13,000"
308,750 sq.ft,1,9.176961100944519,Semifurnished,"19,000"
309,600 sq.ft,1,9.05692984295668,Semifurnished,"12,000"
310,1300 sq.ft,2,3.7445910914094527,Semifurnished,"27,000"
312,550 sq.ft,1,39.1288803896841,Furnished,"22,000"
313,1636 sq.ft,3,24.67395775959769,Semifurnished,"20,000"
314,955 sq.ft,2,43.31306301440419,Semifurnished,"14,500"
316,600 sq.ft,1,14.557471278724925,Semifurnished,"18,000"
317,580 sq.ft,1,10.422352532589588,Semifurnished,"14,500"
319,1650 sq.ft,3,6.984672878827152,Furnished,"33,000"
320,1499 sq.ft,3,17.39354048999374,Semifurnished,"22,000"
321,699 sq.ft,1,19.09064471626785,Semifurnished,"11,000"
322,450 sq.ft,1,6.779595360384149,Semifurnished,"11,000"
324,540 sq.ft,1,9.144927264377484,Semifurnished,"17,500"
325,1919 sq.ft,3,14.421545568164273,Semifurnished,"43,000"
327,1515 sq.ft,3,6.732889599818437,Semifurnished,"42,000"
328,1610 sq.ft,3,12.097064606452141,Semifurnished,"32,000"
329,569 sq.ft,1,7.662880646679782,Semifurnished,"12,000"
332,1996 sq.ft,3,10.67560305404598,Semifurnished,"35,000"
333,1000 sq.ft,1,6.984672878827152,Semifurnished,9500
336,500 sq.ft,1,10.422352532589588,Semifurnished,"13,000"
337,1500 sq.ft,3,12.585473992965634,Semifurnished,"29,000"
338,2000 sq.ft,3,6.4552083022026965,Semifurnished,"40,000"
339,2550 sq.ft,3,32.582568563606685,Furnished,"53,000"
340,1162 sq.ft,2,24.67395775959769,Furnished,"20,000"
342,1265 sq.ft,2,11.482035581746226,Semifurnished,"22,000"
344,1300 sq.ft,2,6.732889599818437,Semifurnished,"22,000"
346,1200 sq.ft,2,10.422352532589588,Semifurnished,"15,000"
347,590 sq.ft,1,7.662880646679782,Semifurnished,"14,000"
350,10000 sq.ft,3,7.316387654587491,Semifurnished,"45,000"
351,2000 sq.ft,3,7.316387654587491,Semifurnished,"42,000"
352,1056 sq.ft,2,77.65699069193931,Semifurnished,"20,000"
353,1482 sq.ft,3,7.880647856842921,Semifurnished,"34,000"
355,1700 sq.ft,2,5.71352833470664,Furnished,"80,000"
356,2551 sq.ft,3,12.742224209587876,Semifurnished,"75,000"
357,4450 sq.ft,4,7.408670787461762,Semifurnished,1.4 Lac
358,1160 sq.ft,2,17.39354048999374,Semifurnished,"22,000"
359,1134 sq.ft,2,2.379314643159816,Semifurnished,"45,000"
360,1680 sq.ft,3,6.984672878827152,Semifurnished,"38,000"
361,1375 sq.ft,3,16.39465523728644,Semifurnished,"27,000"
362,2428 sq.ft,3,7.408670787461762,Semifurnished,"55,000"
364,1250 sq.ft,2,10.422352532589588,Furnished,"25,000"
365,1300 sq.ft,2,2.50563767292279,Furnished,"27,000"
368,3600 sq.ft,1,17.39354048999374,Semifurnished,8000
369,2422 sq.ft,4,20.20928324419548,Semifurnished,"26,000"
373,400 sq.ft,1,7.662880646679782,Semifurnished,"15,100"
375,2154 sq.ft,3,19.09064471626785,Semifurnished,"38,000"
376,1500 sq.ft,3,39.1288803896841,Semifurnished,"40,000"
379,1500 sq.ft,3,16.39465523728644,Semifurnished,"23,000"
380,500 sq.ft,1,10.132722996522393,Semifurnished,"14,000"
381,2187 sq.ft,3,7.880647856842921,Semifurnished,"40,000"
383,500 sq.ft,1,10.422352532589588,Semifurnished,"15,000"
384,750 sq.ft,1,10.422352532589588,Semifurnished,"14,000"
386,1532 sq.ft,3,10.67560305404598,Semifurnished,"25,000"
387,2700 sq.ft,3,12.585473992965634,Semifurnished,"55,000"
389,897 sq.ft,2,69.95896261636227,Semifurnished,"25,000"
390,750 sq.ft,1,13.767269973146734,Semifurnished,"15,000"
391,1820 sq.ft,3,11.886683845532827,Semifurnished,"29,000"
397,475 sq.ft,1,10.422352532589588,Semifurnished,"13,000"
398,1400 sq.ft,2,12.585473992965634,Furnished,"40,000"
399,2000 sq.ft,3,50.2916901168367,Semifurnished,"45,000"
400,1500 sq.ft,2,9.176961100944519,Semifurnished,"29,500"
401,6000 sq.ft,5,10.67560305404598,Furnished,2.5 Lac
402,1200 sq.ft,2,14.557471278724925,Semifurnished,"22,000"
403,1480 sq.ft,2,10.51398422678946,Furnished,"27,500"
404,721 sq.ft,1,7.687123215287745,Semifurnished,"20,000"
405,1600 sq.ft,3,12.585473992965634,Semifurnished,"43,000"
406,3000 sq.ft,1,7.662880646679782,Semifurnished,"12,500"
408,1950.2 sq.ft,3,108.91788579409256,Semifurnished,"72,000"
409,700 sq.ft,1,6.242075606885513,Semifurnished,"20,000"
410,450 sq.ft,1,10.422352532589588,Semifurnished,"15,700"
411,8000 sq.ft,4,8.64778150509074,Furnished,4.02 Lac
412,3500 sq.ft,3,3.7445910914094527,Furnished,"75,000"
413,792 sq.ft,2,19.09064471626785,Semifurnished,"18,000"
414,1499 sq.ft,3,17.39354048999374,Semifurnished,"22,000"
415,1180 sq.ft,3,16.39465523728644,Semifurnished,"18,000"
416,620 sq.ft,1,7.687123215287745,Semifurnished,"18,000"
417,1470 sq.ft,3,10.51398422678946,Furnished,"25,500"
419,1100 sq.ft,2,10.422352532589588,Semifurnished,"25,000"
420,1700 sq.ft,2,7.108082674052107,Semifurnished,"25,000"
424,691 sq.ft,1,6.242075606885513,Semifurnished,"19,000"
425,500 sq.ft,1,6.242075606885513,Semifurnished,"12,000"
428,705 sq.ft,1,12.585473992965634,Semifurnished,"16,999"
429,950 sq.ft,1,39.1288803896841,Semifurnished,"20,000"
430,2400 sq.ft,1,39.1288803896841,Semifurnished,"19,000"
432,350 sq.ft,0,38.640304559799965,Semifurnished,7000
433,1400 sq.ft,2,16.39465523728644,Furnished,"35,000"
435,2000 sq.ft,3,7.687123215287745,Semifurnished,"45,000"
441,1257 sq.ft,2,18.06525020331141,Semifurnished,"25,000"
442,600 sq.ft,3,9.05692984295668,Semifurnished,"27,000"
443,1500 sq.ft,3,5.808063250003965,Semifurnished,"20,000"
444,1881 sq.ft,3,10.67560305404598,Semifurnished,"28,000"
446,1162 sq.ft,2,24.67395775959769,Semifurnished,"21,000"
447,650 sq.ft,1,14.421545568164273,Semifurnished,"10,000"
448,450 sq.ft,1,8.879326540194018,Semifurnished,"13,000"
449,1000 sq.ft,2,8.879326540194018,Semifurnished,"22,000"
450,1850 sq.ft,3,39.1288803896841,Semifurnished,"60,000"
451,2400 sq.ft,1,6.954496560517289,Furnished,"10,000"
452,700 sq.ft,1,9.15394549513154,Furnished,"23,000"
457,1650 sq.ft,3,6.989217545962092,Semifurnished,"24,500"
460,1350 sq.ft,2,6.984672878827152,Furnished,"28,000"
461,1400 sq.ft,3,6.984672878827152,Furnished,"30,000"
464,2246 sq.ft,3,39.1288803896841,Semifurnished,"75,000"
465,750 sq.ft,1,14.064015653946777,Furnished,"15,000"
466,1180 sq.ft,2,4.341748867267065,Furnished,"35,000"
467,1350 sq.ft,3,40.79735934986457,Furnished,"30,600"
470,650 sq.ft,2,5.3457398502353755,Semifurnished,11.5 Lac
475,1000 sq.ft,2,15.569128089656123,Semifurnished,"15,000"
477,1550 sq.ft,3,7.567706895392758,Semifurnished,"30,000"
479,3198 sq.ft,4,20.20928324419548,Semifurnished,"28,000"
481,400 sq.ft,1,7.662880646679782,Semifurnished,"11,600"
484,480 sq.ft,1,6.954496560517289,Semifurnished,9000
485,550 sq.ft,1,9.860482829899476,Semifurnished,"15,500"
487,510 sq.ft,1,9.176961100944519,Semifurnished,"17,500"
488,800 sq.ft,2,39.1288803896841,Semifurnished,"23,000"
489,800 sq.ft,1,9.176961100944519,Semifurnished,"19,000"
490,850 sq.ft,2,12.585473992965634,Semifurnished,"16,000"
494,1560 sq.ft,3,14.369324137985625,Semifurnished,"32,800"
495,550 sq.ft,1,39.1288803896841,Semifurnished,"16,100"
496,2590 sq.ft,4,119.75672673934605,Semifurnished,"55,000"
497,1650 sq.ft,3,6.954496560517289,Semifurnished,"22,500"
