"250 sq.ft","0","Sanjay nagar","Semifurnished","7000"
"300 sq.ft","0","Sanjay nagar","Semifurnished","7000"
"1100 sq.ft","2","R.T. Nagar","Semifurnished","16,000"
"1650 sq.ft","3","Marathahalli","Semifurnished","27,000"
"1200 sq.ft","2","Kuvempu Nagar","Semifurnished","25,100"
"500 sq.ft","1","Bellandur","Semifurnished","15,000"
"1703 sq.ft","3","Yeshwanthpur","Semifurnished","40,000"
"1197 sq.ft","2","Harlur Road","Semifurnished","30,000"
"600 sq.ft","1","Brookefield","Semifurnished","19,000"
"1560 sq.ft","3","Sector 1 HSR Layout","Semifurnished","33,000"
"1210 sq.ft","2","Kaverappa Layout","Semifurnished","29,000"
"975 sq.ft","1","Brookefield","Semifurnished","20,000"
"1200 sq.ft","2","Sector 1 HSR Layout","Semifurnished","28,000"
"1000 sq.ft","2","Teachers Colony","Semifurnished","25,000"
"1200 sq.ft","2","R.T. Nagar","Semifurnished","23,000"
"1640 sq.ft","3","Whitefield","Semifurnished","30,000"
"1655 sq.ft","3","Whitefield","Semifurnished","31,000"
"1654 sq.ft","3","Whitefield","Semifurnished","30,000"
"1100 sq.ft","2","Koramangala","Semifurnished","25,100"
"2000 sq.ft","3","Cooke Town","Semifurnished","60,000"
"1410 sq.ft","3","Electronics City Phase 1","Semifurnished","35,000"
"1267 sq.ft","2","Thanisandra","Semifurnished","20,000"
"550 sq.ft","1","Koramangala","Semifurnished","15,200"
"1774 sq.ft","3","Abshot Layout","Semifurnished","60,000"
"1800 sq.ft","3","Richmond Town","Furnished","55,000"
"575 sq.ft","1","Kasturi Nagar","Semifurnished","13,000"
"750 sq.ft","1","Sector 2 HSR Layout","Semifurnished","19,000"
"600 sq.ft","1","Kasturi Nagar","Semifurnished","12,000"
"1300 sq.ft","2","Benson Town","Semifurnished","27,000"
"509 sq.ft","1","Electronic City","Furnished","14,000"
"550 sq.ft","1","8th block Koramangala","Furnished","22,000"
"1636 sq.ft","3","Budigere","Semifurnished","20,000"
"955 sq.ft","2","Singasandra","Semifurnished","14,500"
"580 sq.ft","1","Brookefield","Semifurnished","16,000"
"600 sq.ft","1","Kundalahalli","Semifurnished","18,000"
"580 sq.ft","1","Kaggadasapura","Semifurnished","14,500"
"7000 sq.ft","4","Whitefield","Semifurnished","1.5 Lac"
"1650 sq.ft","3","7th Phase JP Nagar","Furnished","33,000"
"1499 sq.ft","3","Electronic City Phase II","Semifurnished","22,000"
"699 sq.ft","1","Kadugodi","Semifurnished","11,000"
