,area,bedrooms,distance,furnished,price
226,1500.0,2,9.17,Semifurnished,29500
227,6000.0,5,10.67,Furnished,250000
228,1200.0,2,14.55,Semifurnished,22000
229,1480.0,2,10.51,Furnished,27500
230,721.0,1,7.68,Semifurnished,20000
231,1600.0,3,12.58,Semifurnished,43000
232,3000.0,1,7.66,Semifurnished,12500
233,1950.2,3,108.91,Semifurnished,72000
234,700.0,1,6.24,Semifurnished,20000
235,450.0,1,10.42,Semifurnished,15700
236,8000.0,4,8.64,Furnished,420000
237,3500.0,3,3.74,Furnished,75000
238,792.0,2,19.09,Semifurnished,18000
239,1499.0,3,17.39,Semifurnished,22000
240,1180.0,3,16.39,Semifurnished,18000
241,620.0,1,7.68,Semifurnished,18000
242,1470.0,3,10.51,Furnished,25500
243,1100.0,2,10.42,Semifurnished,25000
244,1700.0,2,7.1,Semifurnished,25000
245,691.0,1,6.24,Semifurnished,19000
246,500.0,1,6.24,Semifurnished,12000
247,705.0,1,12.58,Semifurnished,16999
248,950.0,1,39.12,Semifurnished,20000
249,2400.0,1,39.12,Semifurnished,19000
250,350.0,0,38.64,Semifurnished,7000
251,1400.0,2,16.39,Furnished,35000
252,2000.0,3,7.68,Semifurnished,45000
253,1257.0,2,18.06,Semifurnished,25000
254,600.0,3,9.05,Semifurnished,27000
255,1500.0,3,5.8,Semifurnished,20000
256,1881.0,3,10.67,Semifurnished,28000
257,1162.0,2,24.67,Semifurnished,21000
258,650.0,1,14.42,Semifurnished,10000
259,450.0,1,8.87,Semifurnished,13000
260,1000.0,2,8.87,Semifurnished,22000
261,1850.0,3,39.12,Semifurnished,60000
262,2400.0,1,6.95,Furnished,10000
263,700.0,1,9.15,Furnished,23000
264,1650.0,3,6.98,Semifurnished,24500
265,1350.0,2,6.98,Furnished,28000
266,1400.0,3,6.98,Furnished,30000
267,2246.0,3,39.12,Semifurnished,75000
268,750.0,1,14.06,Furnished,15000
269,1180.0,2,4.34,Furnished,35000
270,1350.0,3,40.79,Furnished,30600
271,650.0,2,5.34,Semifurnished,1150000
272,1000.0,2,15.56,Semifurnished,15000
273,1550.0,3,7.56,Semifurnished,30000
274,3198.0,4,20.2,Semifurnished,28000
275,400.0,1,7.66,Semifurnished,11600
276,480.0,1,6.95,Semifurnished,9000
277,550.0,1,9.86,Semifurnished,15500
278,510.0,1,9.17,Semifurnished,17500
279,800.0,2,39.12,Semifurnished,23000
280,800.0,1,9.17,Semifurnished,19000
281,850.0,2,12.58,Semifurnished,16000
282,1560.0,3,14.36,Semifurnished,32800
283,550.0,1,39.12,Semifurnished,16100
284,2590.0,4,119.75,Semifurnished,55000
285,1650.0,3,6.95,Semifurnished,22500
286,1650.0,3,4.34,Semifurnished,55000
287,2400.0,1,39.12,Semifurnished,19000
288,1110.0,2,14.98,Semifurnished,20000
289,250.0,1,6.17,Semifurnished,13000
290,1600.0,3,10.1,Semifurnished,15000
291,1409.0,3,12.72,Semifurnished,27000
292,1050.0,2,6.95,Furnished,14000
293,1780.0,3,6.98,Semifurnished,35000
294,1804.37,3,111.69,Semifurnished,30000
295,750.0,1,4.85,Semifurnished,13000
296,2100.0,3,6.45,Semifurnished,65000
297,1771.0,3,3.8,Semifurnished,75000
298,2400.0,2,6.45,Furnished,28000
299,1108.0,2,16.39,Semifurnished,24000
300,1265.0,3,11.88,Semifurnished,30000
301,1285.0,2,16.39,Semifurnished,20000
302,500.0,1,12.58,Semifurnished,14500
303,1600.0,3,9.17,Semifurnished,32000
304,450.0,1,7.66,Semifurnished,10000
305,800.0,1,9.15,Furnished,22000
306,2500.0,3,4.34,Semifurnished,65000
307,650.0,1,9.15,Semifurnished,20000
308,1665.0,3,6.73,Semifurnished,27000
309,1200.0,2,15.65,Semifurnished,26500
310,1245.0,2,14.35,Furnished,25000
311,1215.0,2,17.97,Semifurnished,28000
312,1200.0,2,9.95,Semifurnished,19000
313,1300.0,2,6.24,Semifurnished,30000
314,2400.0,2,7.16,Semifurnished,39000
315,1500.0,3,43.31,Semifurnished,27000
316,2079.0,4,20.2,Semifurnished,27000
317,1000.0,2,21.07,Furnished,29000
318,780.0,1,6.98,Semifurnished,11000
319,780.0,1,6.98,Semifurnished,12000
320,1128.0,2,16.39,Furnished,30000
321,1500.0,1,9.17,Semifurnished,19500
322,2052.69,3,108.91,Semifurnished,65000
323,1350.0,3,14.35,Semifurnished,20000
324,550.0,1,9.59,Semifurnished,16000
325,3606.0,4,16.1,Furnished,65000
326,965.0,2,126.97,Semifurnished,21000
327,1279.0,2,11.88,Semifurnished,20500
328,1300.0,2,37.06,Semifurnished,10000
329,1500.0,1,39.13,Semifurnished,15000
330,1199.0,2,9.05,Semifurnished,23000
331,1000.0,1,7.66,Semifurnished,13500
332,1844.0,3,43.9,Semifurnished,28500
333,1575.0,3,7.88,Semifurnished,35000
334,2000.0,3,16.39,Furnished,40000
335,1134.0,2,2.37,Furnished,60000
336,1300.0,3,6.25,Semifurnished,26000
337,1300.0,2,5.01,Semifurnished,22000
338,1200.0,2,11.89,Semifurnished,24000
339,1134.0,2,7.4,Semifurnished,34000
340,1100.0,2,9.17,Semifurnished,28000
341,1636.0,3,24.67,Semifurnished,26000
342,1278.0,2,7.88,Semifurnished,27000
343,2476.0,4,7.4,Semifurnished,56000
344,600.0,1,7.1,Semifurnished,12500
345,1200.0,1,7.66,Semifurnished,15500
346,550.0,2,7.66,Semifurnished,15600
347,797.0,2,19.09,Semifurnished,15000
348,1300.0,3,6.73,Semifurnished,20000
349,982.0,1,7.68,Semifurnished,22000
350,1450.0,3,2.64,Furnished,50000
351,1664.0,3,14.55,Semifurnished,30000
352,750.0,1,12.58,Furnished,20000
353,3000.0,4,10.96,Semifurnished,85000
354,1000.0,1,132.45,Semifurnished,16000
355,2350.0,4,6.43,Furnished,450000
356,956.0,2,43.31,Semifurnished,14500
357,2600.0,3,12.19,Semifurnished,60000
358,1729.0,3,20.2,Semifurnished,26000
359,700.0,1,7.68,Semifurnished,16500
360,1260.0,2,14.98,Semifurnished,25000
361,1450.0,3,51.37,Semifurnished,23000
362,2000.0,3,15.65,Semifurnished,55000
363,352.0,0,7.1,Furnished,13500
364,1535.0,3,10.1,Furnished,36000
365,1200.0,1,9.17,Semifurnished,18000
366,1790.0,3,10.67,Semifurnished,30000
367,1125.0,2,14.55,Semifurnished,22000
368,1350.0,3,69.95,Semifurnished,31000
369,1700.0,3,9.86,Furnished,35000
370,565.0,1,14.55,Semifurnished,17000
371,1680.0,3,126.97,Semifurnished,28000
372,1730.0,3,19.09,Semifurnished,30000
373,400.0,1,6.21,Furnished,21000
